ZipCode,State,CombinedRate
36633,AL,0.1
36640,AL,0.1
36641,AL,0.1
36644,AL,0.1
36652,AL,0.1
36660,AL,0.1
36663,AL,0.1
36670,AL,0.1
36671,AL,0.1
36675,AL,0.1
36685,AL,0.1
36688,AL,0.1
36689,AL,0.1
36691,AL,0.1
36693,AL,0.1
36695,AL,0.08
36701,AL,0.1
36703,AL,0.1
36720,AL,0.075
36721,AL,0.075
36722,AL,0.075
36723,AL,0.075
36726,AL,0.075
36727,AL,0.05
36728,AL,0.075
36732,AL,0.09
36736,AL,0.06
36738,AL,0.06
36740,AL,0.09
36741,AL,0.075
36742,AL,0.06
36744,AL,0.07
36745,AL,0.06
36748,AL,0.09
36749,AL,0.06
36750,AL,0.06
36751,AL,0.075
36752,AL,0.08
36753,AL,0.075
36754,AL,0.06
36756,AL,0.1
36758,AL,0.055
36759,AL,0.055
36761,AL,0.055
36762,AL,0.05
36763,AL,0.08
36764,AL,0.06
36765,AL,0.075
36766,AL,0.075
36767,AL,0.055
36768,AL,0.075
36769,AL,0.075
36773,AL,0.055
36775,AL,0.055
36776,AL,0.07
36782,AL,0.06
36783,AL,0.06
36784,AL,0.1
36785,AL,0.08
36786,AL,0.1
36790,AL,0.06
36792,AL,0.08
36793,AL,0.08
36801,AL,0.09
36803,AL,0.09
36804,AL,0.07
36830,AL,0.09
36831,AL,0.09
36832,AL,0.09
36849,AL,0.09
36850,AL,0.06
36851,AL,0.08
36852,AL,0.07
36853,AL,0.06
36854,AL,0.1
36855,AL,0.09
36856,AL,0.08
36858,AL,0.08
36859,AL,0.08
36860,AL,0.08
36861,AL,0.075
36862,AL,0.09
36863,AL,0.1
36865,AL,0.08
36866,AL,0.05
36867,AL,0.09
36868,AL,0.09
36869,AL,0.09
36870,AL,0.095
36871,AL,0.08
36874,AL,0.08
36875,AL,0.08
36877,AL,0.09
36879,AL,0.08
36901,AL,0.07
36904,AL,0.07
36907,AL,0.07
36908,AL,0.07
36910,AL,0.07
36912,AL,0.07
36913,AL,0.07
36915,AL,0.07
36916,AL,0.1
36919,AL,0.07
36921,AL,0.07
36922,AL,0.07
36925,AL,0.1
71601,AR,0.0975
71602,AR,0.0975
71603,AR,0.0975
71630,AR,0.08
71631,AR,0.085
71635,AR,0.08
71638,AR,0.105
71639,AR,0.105
71640,AR,0.105
71642,AR,0.08
71643,AR,0.105
71644,AR,0.08125
71646,AR,0.08
71647,AR,0.085
71651,AR,0.085
71652,AR,0.0975
71653,AR,0.105
71654,AR,0.11
71655,AR,0.1
71658,AR,0.08
71659,AR,0.08125
71660,AR,0.0975
71661,AR,0.08
71662,AR,0.08
71663,AR,0.08
